BossName,HP,Standard,Strike,Slash,Piercing,Magic,Fire,Lightning,Holy
Margit_The_Fell,4000,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4
Rennala_Queen_Full_Moon,4500,0.0,0.0,0.0,0.0,0.8,0.2,0.2,0.2
Rykard_Lord_Blasphemy,7000,0.1,0.1,0.1,0.1,0.2,1.0,0.2,0.2
Radagon_Of_The_Golden_Order,6000,0.1,0.0,0.1,0.1,0.2,0.2,0.2,0.8
Divine_Beast_Dancing_Lion,5000,0.3,0.2,0.3,0.0,0.4,0.0,0.4,0.4
Messmer_The_Impaler,8000,0.2,0.0,0.2,0.2,0.2,0.4,0.2,0.0
Godrick_The_Grafted,6000,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2
Starscourge_Radahn,9500,0.1,0.1,0.1,0.0,0.2,0.1,0.1,0.2
Mohg_Lord_of_Blood,14000,0.1,0.1,0.1,0.1,0.2,0.8,0.2,0.2
Malenia_Blade_of_Miquella,18000,0.1,0.1,0.1,0.1,0.2,0.0,0.2,0.2
Maliketh_The_Black_Blade,10000,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.8
Godfrey_First_Elden_Lord,22000,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2
Elden_Beast,22000,0.1,0.1,0.1,0.1,0.4,0.4,0.4,0.8
Rellana_Twin_Moon_Knight,30000,0.1,0.1,0.1,0.1,0.4,0.4,0.2,0.4
Romina_Saint_of_the_Bud,32000,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2
Midra_Lord_of_Frenzied_Flame,41000,0.1,0.1,0.1,0.1,0.2,0.6,0.2,0.2
Bayle_The_Dread,47000,0.1,0.1,0.1,0.1,0.2,0.5,0.0,0.4
Commander_Gaius,38000,0.1,0.0,0.2,0.1,0.4,0.2,0.2,0.2
Scadutree_Avatar,33000,0.1,0.1,0.1,0.1,0.2,0.5,0.2,0.2
Promised_Consort_Radahn,46000,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4
Tree_Sentinel,3000,0.1,0.0,0.2,0.1,0.2,0.2,0.2,0.4
Flying_Dragon_Agheel,3200,0.1,0.1,0.1,0.0,0.2,0.5,0.2,0.2
Leonine_Misbegotten,2200,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2
Margit_Rematch,6000,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4
Red_Wolf_of_Radagon,2200,0.1,0.1,0.1,0.1,0.4,0.2,0.2,0.2
Magma_Wyrm_Makar,7000,0.1,0.1,0.1,0.0,0.2,0.8,0.2,0.2
Ancestral_Spirit,4000,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2
Regal_Ancestral_Spirit,6000,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2
Valiant_Gargoyle,10000,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.8
Lichdragon_Fortissax,13000,0.1,0.1,0.1,0.1,0.2,0.2,0.4,0.8
Fire_Giant,42000,0.1,0.1,0.1,0.1,0.2,0.5,0.2,0.2
Godskin_Noble,10000,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2
Godskin_Apostle,14000,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2
Sir_Gideon_Ofnir,6500,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2
Astel_Naturalborn_Void,11000,0.1,0.1,0.1,0.1,0.4,0.2,0.2,0.2
Commander_Niall,15000,0.1,0.0,0.2,0.1,0.2,0.2,0.2,0.2
Loretta_Knight_Haligtree,13000,0.1,0.1,0.1,0.1,0.4,0.2,0.2,0.2
Dragonkin_Soldier_Nokstella,4500,0.1,0.1,0.1,0.1,0.2,0.2,0.4,0.2
Elemer_of_the_Briar,5000,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2
Putrescent_Knight,28000,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4
Black_Gaol_Knight,15000,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2
Ancient_Dragon_Senessax,35000,0.1,0.1,0.1,0.1,0.2,0.2,0.8,0.2
Death_Knight,20000,0.1,0.1,0.1,0.1,0.2,0.2,0.6,0.2
Chief_Bloodfiend,18000,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2
Lamenter,16000,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2
Curseblade_Labirith,12000,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2
Demi_Human_Queen_Marigga,14000,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2
Golden_Hippo,31000,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4
Jori_Elder_Inquisitor,24000,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.6
Metyr_Mother_of_Fingers,43000,0.1,0.1,0.1,0.1,0.4,0.2,0.2,0.2
