WeaponName,Weight,Standard,Strike,Slash,Piercing,Magic,Fire,Lightning,Holy,BaseSwingTime
Guts_Greatsword,23.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.50
Giant_Crusher,26.5,0.0,32.4,0.0,0.0,0.0,0.0,0.0,0.0,1.75
Rivers_of_Blood,13.0,0.0,0.0,8.5,0.0,0.0,11.2,0.0,0.0,0.70
Bolt_of_Gransax,13.5,0.0,0.0,0.0,9.2,0.0,0.0,16.4,0.0,1.20
Moonveil,8.5,0.0,0.0,7.1,0.0,15.8,0.0,0.0,0.0,0.80
Dark_Moon_Greatsword,10.0,8.2,0.0,0.0,0.0,19.5,0.0,0.0,0.0,1.20
Blasphemous_Blade,13.5,0.0,0.0,8.8,0.0,0.0,21.2,0.0,0.0,1.10
Sacred_Relic_Sword,10.5,0.0,0.0,7.9,0.0,0.0,0.0,0.0,18.6,1.00
Milady,6.5,0.0,0.0,14.2,3.1,0.0,0.0,0.0,0.0,0.85
Rellana_Twin_Blades,8.0,0.0,0.0,8.1,0.0,8.1,8.1,0.0,0.0,0.80
Spear_of_the_Impaler,9.5,0.0,0.0,0.0,14.2,0.0,12.1,0.0,0.0,1.15
Euporia,8.5,0.0,7.6,0.0,0.0,0.0,0.0,0.0,15.3,0.95
Bloodhound_Fang,11.5,0.0,0.0,22.4,4.2,0.0,0.0,0.0,0.0,1.10
Starscourge_Greatsword,20.0,18.2,0.0,0.0,0.0,11.4,0.0,0.0,0.0,1.40
Maliketh_Black_Blade,22.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,14.8,1.45
Moghwyn_Sacred_Spear,17.5,0.0,0.0,0.0,16.2,0.0,11.8,0.0,0.0,1.30
Hand_of_Malenia,15.0,0.0,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.90
Winged_Scythe,7.5,0.0,0.0,12.1,0.0,0.0,0.0,0.0,10.8,1.05
Glintstone_Kris,1.5,0.0,0.0,0.0,5.8,9.4,0.0,0.0,0.0,0.50
Reduvia,2.5,0.0,0.0,6.1,8.2,0.0,0.0,0.0,0.0,0.45
Eleonora_Poleblade,7.0,0.0,0.0,8.3,4.9,0.0,10.6,0.0,0.0,0.75
Godskin_Peeler,8.0,0.0,0.0,4.2,16.1,0.0,0.0,0.0,0.0,0.85
Marika_Hammer,11.0,0.0,14.6,0.0,0.0,0.0,0.0,0.0,8.2,1.00
Ordovis_Greatsword,12.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,8.4,1.15
Ruins_Greatsword,23.0,0.0,26.4,0.0,0.0,8.2,0.0,0.0,0.0,1.55
Godslayer_Greatsword,17.5,0.0,0.0,17.2,0.0,0.0,11.6,0.0,0.0,1.30
Dragon_King_Cragblade,18.0,0.0,0.0,0.0,15.8,0.0,0.0,11.4,0.0,1.25
Black_Knife,2.0,0.0,0.0,3.2,4.8,0.0,0.0,0.0,8.4,0.45
Sword_of_Night_Flame,4.0,5.8,0.0,0.0,0.0,8.1,8.1,0.0,0.0,0.70
Uchigatana,5.5,0.0,0.0,16.2,0.0,0.0,0.0,0.0,0.0,0.80
Nagakiba,7.0,0.0,0.0,14.4,4.2,0.0,0.0,0.0,0.0,0.85
Zweihander,15.5,24.8,0.0,0.0,3.8,0.0,0.0,0.0,0.0,1.35
Claymore,9.0,10.6,0.0,0.0,12.2,0.0,0.0,0.0,0.0,1.05
Scavenger_Curved_Sword,3.5,0.0,0.0,13.8,0.0,0.0,0.0,0.0,0.0,0.65
Great_Stars,12.0,0.0,22.1,0.0,0.0,0.0,0.0,0.0,0.0,1.10
Ghiza_Wheel,19.0,11.8,0.0,18.2,0.0,0.0,0.0,0.0,0.0,1.40
Astel_Wing,2.5,0.0,0.0,5.8,0.0,11.6,0.0,0.0,0.0,0.60
Meteoric_Ore_Blade,7.5,0.0,0.0,11.2,0.0,8.2,0.0,0.0,0.0,0.80
Gargoyle_Black_Blades,8.5,0.0,0.0,10.6,0.0,0.0,0.0,0.0,10.6,0.90
Coded_Sword,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,0.65
Sword_of_Night,4.5,0.0,0.0,15.8,0.0,0.0,0.0,0.0,0.0,0.75
Great_Katana,9.0,0.0,0.0,19.2,4.2,0.0,0.0,0.0,0.0,1.05
Rakshasa_Great_Katana,9.5,0.0,0.0,22.4,0.0,0.0,0.0,0.0,0.0,1.05
Backhand_Blade,2.0,0.0,0.0,11.8,2.1,0.0,0.0,0.0,0.0,0.60
Dryleaf_Arts,1.0,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.55
Anvil_Hammer,22.0,0.0,21.2,0.0,0.0,0.0,11.8,0.0,0.0,1.50
Firespark_Perfume,1.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,0.0,0.50
Lightning_Perfume,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,0.50
Smithscript_Axe,5.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85
Death_Knight_Twin_Axes,5.5,0.0,0.0,10.1,0.0,0.0,0.0,6.8,0.0,0.75
